cat,file,gate,old_colors,new_colors,old_frag,new_frag,old_frag2,new_frag2,old_dark,new_dark,ol_old,ol_new,colout_old,colout_new,de_old,de_new,de_new_adj,de_delta,lum_dev_old,lum_dev_new,verdict,v12_colors,v12_frag,v12_frag2,v12_dark,ol_v12,colout_v12,de_v12,nfeat12,verdict12
lineart,lineart_x_111.jpg,0,10,8,221,27,0,0,174,193,73,0,0,0,11.045,16.6,16.6,5.555,0.37,12.07,better,9,27,0,193,0,0,16.59,14,better
lineart,lineart_x_112.jpg,0,13,9,177,77,0,0,178,242,126,0,20,0,10.886,17.371,17.371,6.484,1.11,10.85,better,10,76,0,242,0,0,17.373,5,better
lineart,lineart_x_113.jpg,0,7,9,219,499,0,12,177,543,77,0,0,0,6.044,13.499,13.499,7.455,3.39,0.62,better,7,359,12,543,0,0,13.2,408,better
lineart,lineart_x_114.jpg,0,7,8,227,332,0,6,176,619,73,0,0,7,4.319,12.688,12.688,8.37,1.7,-1.26,better,8,192,6,619,0,4,12.694,423,better
lineart,lineart_x_115.jpg,0,7,7,196,179,0,6,183,539,100,0,0,2,6.197,12.282,12.282,6.085,4.17,-0.7,better,7,134,6,539,0,0,12.005,331,better
pixelart,pixelart_001.jpg,1,16,9,1361,627,70,177,1315,2162,123,0,0,0,5.473,26.56,28.076,21.087,0.31,-8.84,better,9,660,177,2162,0,0,27.337,589,better
pixelart,pixelart_005.jpg,0,8,6,24,4,0,0,336,405,45,0,0,447,9.082,12.322,12.322,3.24,-2.82,-1.97,better,6,2,0,399,0,438,12.145,21,better
pixelart,pixelart_006.jpg,1,27,13,70,4,0,0,835,826,161,0,0,0,7.473,9.695,9.125,2.222,3.43,3.95,better,13,3,0,826,0,0,9.72,40,better
pixelart,pixelart_011.jpg,0,18,6,80,1,0,1,481,450,196,0,0,0,20.066,37.319,37.319,17.253,-13.06,-3.29,better,7,3,1,450,0,0,37.312,6,better
pixelart,pixelart_014.jpg,0,39,14,330,126,0,4,224,352,266,0,0,6,4.697,12.593,12.593,7.896,-0.78,-0.72,better,14,119,4,352,0,1,12.594,130,better
pixelart,pixelart_017.jpg,0,33,8,61,0,0,0,442,438,141,0,34,0,2.182,4.28,4.28,2.098,-0.76,-0.45,better,8,0,0,438,0,0,4.28,0,better
pixelart,pixelart_018.jpg,1,46,73,875,880,26,26,1756,1540,31,0,29,70,8.6,16.562,13.357,7.962,0.8,6.88,better,72,792,26,1539,0,69,16.525,167,better
pixelart,pixelart_019.jpg,1,61,75,893,646,14,31,2259,1707,42,0,74,34,9.306,20.239,13.625,10.934,1.18,10.6,better,73,602,31,1706,0,34,20.231,111,better
pixelart,pixelart_020.jpg,0,52,59,912,576,17,9,1078,978,34,0,85,26,8.312,12.947,12.947,4.635,0.91,2.42,better,60,485,9,977,0,25,12.961,119,better
pixelart,pixelart_040.jpg,0,29,29,203,153,16,1,1399,249,32,0,794,87,9.622,14.609,14.609,4.986,-0.73,5.16,better,29,143,1,245,0,87,14.565,21,better
pixelart,pixelart_042.jpg,1,37,41,457,423,4,52,2797,2809,154,0,0,36,7.301,17.809,15.047,10.508,0.15,10.29,better,42,415,49,2796,0,35,17.585,187,better
pixelart,pixelart_x_101.jpg,0,36,43,553,599,7,16,890,1121,30,0,3,347,6.489,11.389,11.389,4.9,0.26,1.08,better,43,531,16,1120,0,349,11.424,143,better
