cat,file,gate,old_colors,new_colors,old_comp,new_comp,old_frag,new_frag,old_dark,new_dark,agree_pct
food,food_021.jpg,1,39,57,542,557,449,474,2064,1465,15.7
food,food_022.jpg,1,39,47,708,477,673,440,1650,1629,51.2
food,food_023.jpg,0,51,54,1195,1143,1147,1077,833,815,50.4
food,food_024.jpg,0,55,67,888,759,796,635,586,721,34.9
food,food_025.jpg,0,28,26,640,681,557,598,1219,1207,49.7
food,food_026.jpg,1,34,28,578,468,508,386,2645,1708,24.4
food,food_027.jpg,1,53,57,855,1060,772,976,2346,1950,11.7
food,food_028.jpg,0,35,37,725,536,652,452,698,716,49.9
food,food_029.jpg,0,28,37,710,917,600,818,731,834,50.6
food,food_030.jpg,0,32,36,858,885,823,835,452,718,43.8
food,food_031.jpg,1,58,80,1404,1444,1315,1431,1668,1551,25.1
food,food_032.jpg,1,41,69,900,954,820,857,2079,1262,10.4
food,food_033.jpg,1,32,52,754,868,679,808,2253,1992,20.8
food,food_034.jpg,0,51,63,901,831,858,805,968,990,44.6
food,food_035.jpg,1,33,68,1042,1221,980,1183,1505,1521,18.1
food,food_036.jpg,1,36,50,462,587,374,537,2428,2071,40.0
food,food_037.jpg,1,43,36,998,824,963,765,1008,1032,47.1
food,food_038.jpg,0,45,47,1106,963,1042,886,1048,984,52.0
food,food_039.jpg,0,51,61,949,865,928,792,242,260,44.7
food,food_040.jpg,1,32,25,484,308,454,277,2715,2281,41.0
food,food_041.jpg,0,10,8,877,588,738,500,1508,2043,47.2
food,food_043.jpg,1,38,65,732,767,639,670,1564,1425,24.2
food,food_044.jpg,0,39,38,812,707,767,666,394,547,50.8
food,food_045.jpg,1,28,46,793,812,704,695,1761,1699,32.6
food,food_046.jpg,0,18,24,1256,1250,1262,1271,257,284,44.5
food,food_047.jpg,0,38,39,695,523,695,507,407,407,35.2
food,food_048.jpg,0,29,31,991,517,919,422,1000,1297,51.2
food,food_049.jpg,0,33,39,895,851,827,727,869,620,35.5
food,food_050.jpg,1,43,56,796,761,724,703,1672,1401,27.9
random,rand_001.jpg,1,19,27,140,173,112,138,540,1172,11.0
random,rand_002.jpg,1,34,62,861,1247,743,1204,1445,1064,17.7
random,rand_003.jpg,1,14,28,203,426,182,377,1403,926,11.9
random,rand_004.jpg,1,25,34,244,313,203,243,1507,1411,41.9
random,rand_005.jpg,1,22,34,697,908,629,823,2282,2072,20.3
random,rand_006.jpg,0,39,45,706,688,679,645,1030,977,55.2
random,rand_007.jpg,0,29,38,411,488,351,421,1368,1247,50.4
random,rand_008.jpg,1,32,30,132,195,71,126,1710,1658,36.0
random,rand_009.jpg,0,25,26,321,338,276,304,1766,1785,77.3
random,rand_010.jpg,1,30,44,510,610,478,538,2375,1913,25.4
random,rand_011.jpg,0,33,52,843,816,787,788,701,958,45.8
random,rand_012.jpg,1,20,17,498,525,416,429,2637,1165,5.0
